timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1092000,0,473977508,85456074,488105,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,1.9863007,0,nan,nan,3,0,10
1892000,0,473977508,85456073,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.6903458,0,nan,nan,3,0,10
2092000,0,473977508,85456074,488107,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.537199,0,nan,nan,3,0,10
2292000,0,473977508,85456074,488105,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0094687,0,nan,nan,3,0,10
2492000,0,473977508,85456073,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.01,5.717181,0,nan,nan,3,0,10
2692000,0,473977508,85456074,488108,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.02,0.0,2.163621,0,nan,nan,3,0,10
2892000,0,473977508,85456074,488104,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1504872,0,nan,nan,3,0,10
3092000,0,473977508,85456074,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,5.964138,0,nan,nan,3,0,10
3292000,0,473977508,85456074,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,3.926526,0,nan,nan,3,0,10
3492000,0,473977507,85456074,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.812471,0,nan,nan,3,0,10
3692000,0,473977508,85456074,488111,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.8251696,0,nan,nan,3,0,10
3892000,0,473977508,85456074,488100,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.03,4.2425957,0,nan,nan,3,0,10
4092000,0,473977507,85456074,488106,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.04,5.705313,0,nan,nan,3,0,10
4292000,0,473977508,85456074,488111,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,6.1098685,0,nan,nan,3,0,10
4492000,0,473977508,85456074,488105,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,4.789217,0,nan,nan,3,0,10
4692000,0,473977508,85456074,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.04,3.4189992,0,nan,nan,3,0,10
4892000,0,473977508,85456074,488110,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.06,5.398668,0,nan,nan,3,0,10
5192000,0,473977508,85456074,488100,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,-0.03,1.2559019,0,nan,nan,3,0,10
5392000,0,473977508,85456075,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.2658058,0,nan,nan,3,0,10
5592000,0,473977508,85456075,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.7372518,0,nan,nan,3,0,10
5792000,0,473977508,85456075,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.5063493,0,nan,nan,3,0,10
5992000,0,473977508,85456074,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.65552634,0,nan,nan,3,0,10
6192000,0,473977508,85456074,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.1816416,0,nan,nan,3,0,10
6392000,0,473977508,85456074,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.8945875,0,nan,nan,3,0,10
6592000,0,473977508,85456074,488109,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,-0.01,0.0,5.8212,0,nan,nan,3,0,10
6792000,0,473977508,85456074,488107,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,0.9932376,0,nan,nan,3,0,10
6992000,0,473977508,85456074,488105,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,-0.03,5.3943048,0,nan,nan,3,0,10
7192000,0,473977508,85456074,488106,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.01,6.049482,0,nan,nan,3,0,10
7392000,0,473977508,85456074,488106,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,6.204637,0,nan,nan,3,0,10
7592000,0,473977508,85456074,488103,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.02,3.0305004,0,nan,nan,3,0,10
7792000,0,473977508,85456074,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.04,2.8851187,0,nan,nan,3,0,10
7992000,0,473977507,85456074,488109,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,5.7924027,0,nan,nan,3,0,10
8192000,0,473977508,85456074,488104,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.8907037,0,nan,nan,3,0,10
8396000,0,473977508,85456074,488100,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.725426,0,nan,nan,3,0,10
8596000,0,473977508,85456074,488103,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6928753,0,nan,nan,3,0,10
8796000,0,473977508,85456074,488108,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9859517,0,nan,nan,3,0,10
8996000,0,473977508,85456074,488109,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.01,4.34644,0,nan,nan,3,0,10
9196000,0,473977508,85456075,488100,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.3305137,0,nan,nan,3,0,10
9396000,0,473977508,85456074,488108,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.01,4.84908,0,nan,nan,3,0,10
9596000,0,473977508,85456074,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.07,1.6988535,0,nan,nan,3,0,10
9796000,0,473977508,85456074,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.0,1.4951795,0,nan,nan,3,0,10
