timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force
727132000,0,47.397613525390625,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397525787353516,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39751434326172,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
733124000,0,47.397525787353516,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39751434326172,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397605895996094,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
737940000,0,47.39751434326172,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397605895996094,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39815902709961,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
745392000,0,47.39751434326172,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397605895996094,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39815902709961,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
745444000,0,47.397605895996094,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39815902709961,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.398250579833984,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
763140000,0,47.39815902709961,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.398250579833984,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.398292541503906,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
768740000,0,47.398250579833984,8.545365333557129,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.398292541503906,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3982048034668,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
773724000,0,47.398292541503906,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3982048034668,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3975944519043,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
781448000,0,47.398292541503906,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3982048034668,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3975944519043,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
781508000,0,47.3982048034668,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3975944519043,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39750289916992,8.54544734954834,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
